scenario,user_input,expected_behavior,success_criteria,tools_context,failure_edge_cases
TR-ORCH-001 — Incomplete Portugal request,"Plan a 10-day trip to Portugal in October, budget $2,000.","Ask for city, year/exact dates, flight origin, occupancy and currency/budget scope before a priced plan.",Clarification covers every missing required field; offers Lisbon as supported coverage without selecting it; no quotes or budget-fit claim.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. No prior trip state. Registry covers Lisbon, Paris, London and New York City only. No offers or forecasts supplied.",Inventing an airport or dates; assuming Portugal means Lisbon; treating ambiguous dollars as confirmed USD.
TR-ORCH-002 — Complete conditional budget fit,Use my resolved Lisbon trip and reconcile the supplied itinerary and costs.,"Return 10 dated days, 9 hotel nights, cited supplied recommendations and a conditional affordable verdict.",Flight USD 600 + EUR 1250 at 1.10 USD/EUR = USD 1975; delta=25; fits_budget=true; mixed estimates and fixture basis explicit.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Resolved trip: Lisbon Oct 10-19 2026, JFK outbound Oct 9, 1 adult/room, USD 2000 all-in. Fixture itinerary has exactly those ten dates with verified evidence references; flight=USD 600; hotel=EUR 900 whole stay; user-approved meals=EUR 200, transport=EUR 50, activities=EUR 100; fees included; FX=1 EUR to 1.10 USD. Forecast unknown for all dates.",Multiplying hotel total by nights; claiming fixture prices are live; claiming weather checked for October.
TR-ORCH-003 — Exact budget boundary,My complete cost ledger totals exactly my USD 2000 budget. Does it fit?,Treat equality as within budget while preserving quote qualifications.,total=2000; delta=0; fits_budget=true; no positive remaining balance or over-budget statement.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Resolved Lisbon trip with complete all-in same-currency fixture ledger: flight 600, hotel 1000, meals 250, transport 50, activities 100 USD; allowances accepted; weather unknown.",Using strict less-than; inventing contingency not included in agreed scope.
TR-ORCH-004 — Over budget with eligible alternative,Keep my dates and find a way to reduce the quoted USD 2300 total below USD 2000.,Present the supported cheaper hotel option and recompute the complete ledger.,"Original total=2300; replacing hotel 1200 with eligible 850 yields total=1950 and delta=50; preserve dates, room count and requirements.","Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Fixed Lisbon trip; flight=600, hotel H1=1200, meals=300, transport=100, activities=100 USD. H2=850 whole stay, same required room/date scope; no new fees; estimates accepted.",Invented discount; removing nights; selecting a hotel that fails required constraints.
TR-ORCH-005 — Unknown mandatory hotel cost,Can this trip fit USD 2000 when the hotel price is unavailable?,Return the known subtotal and an unknown complete-budget verdict.,Known subtotal=900; total=null; delta=null; fits_budget=null; missing lodging named.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Resolved Lisbon trip; flight=600, meals=200, transport=50, activities=50 USD; accepted allowances; hotel response unavailable; no hotel estimate approved.",Hotel cost set to zero; known subtotal presented as complete total.
TR-ORCH-006 — Known minimum already exceeds budget,Flights alone cost USD 2200 and my total budget is USD 2000. Hotel cost is unknown.,Explain that the known minimum already exceeds budget while final total remains unknown.,known_subtotal=2200; budget_status=over_budget; fits_budget=false; total and delta null; excess lower bound at least USD 200 stated separately.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Resolved Lisbon trip; USD 2200 confirmed synthetic flight total, all other categories unknown.",Returning fits; fabricating final total; presenting lower-bound excess as exact final delta.
TR-ORCH-007 — Unavailable FX rate,Can you total my EUR hotel and USD flight in dollars?,Preserve original currency subtotals and state conversion is unavailable.,No combined USD total or fit claim; missing EUR-USD rate explicit.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Resolved Lisbon trip; USD 600 flight, EUR 900 lodging, other categories excluded by user; FX provider times out and no valid cached rate exists.",Using remembered exchange rate; adding 600 and 900 as same currency.
TR-ORCH-008 — Contradictory trip duration,"Plan exactly 10 days in Lisbon from October 10 through October 20, 2026.",Clarify whether to keep dates or ten-day duration.,States inclusive dates span 11 days; no silent change to either date or duration.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Origin JFK, one adult/room, USD 2000 all-in known; start/end refer to destination days.",Returning a ten-row itinerary labeled October 10-20.
TR-ORCH-009 — Missing departure origin,"Plan Lisbon October 10-19, 2026, for one adult and one room, USD 2000 including flights.",Ask for departure origin before flight pricing; may offer a clearly unpriced draft.,"Origin requested; no assumed airport, fabricated flight or complete verdict.",Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Dates/city/occupancy/budget scope supplied; no prior origin or offer data.,Inferring origin from device timezone or nationality.
TR-ORCH-010 — Ambiguous budget scope,We are two adults going to Paris October 10-19 with a $2000 budget.,"Clarify currency, total-versus-per-person budget, rooms, origin and included categories.",All missing pricing-critical facts identified; no USD 4000 inferred.,Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. No prior state; dollar currency and occupancy details unresolved.,Doubling budget automatically; choosing two rooms without asking.
TR-ORCH-011 — Destination correction,"Actually make it London, keeping my dates, origin, budget and traveler count.",Apply London while preserving other explicit constraints and mark Lisbon-dependent results stale.,London in resolved destination; unchanged dates/origin/budget/count; no Lisbon recommendations or costs reused as London facts.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Prior resolved Lisbon trip is Oct 10-19, JFK, one adult/room, USD 2000; old evidence is Lisbon only; no London results available yet.",Dropping unchanged budget; showing old Lisbon weather as London weather.
TR-ORCH-012 — Date correction,"Move the trip to November 10-19, 2026, keeping everything else.",Apply new dates and report that date-dependent offers/weather need refreshing.,Ten November days and nine hotel nights; old October quotes/forecasts not represented as current.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Prior resolved Lisbon trip Oct 10-19, JFK, one adult/room, USD 2000; new provider results unavailable.",Retaining October totals as verified November prices.
