scenario,user_input,expected_behavior,success_criteria,tools_context,failure_edge_cases
TR-WEATHER-001 — Low rain outdoor day,Assess the outdoor walk on the covered date.,Report no rain-threshold conflict for the covered walk without a safety guarantee.,A1 Oct 10 rain conflict=false at 20%; covered forecast cited as synthetic; no all-weather-safe claim.,"Synthetic scenario; use the fixed forecast clock below, subject to the explicit case override. Synthetic forecast fixture, not real weather. Unless overridden: as_of=2026-10-09T12:00:00Z; Europe/Lisbon; activity A1 is an outdoor rain-sensitive walk on 2026-10-10; draft version=1; forecast date=2026-10-10, rain probability=20%, max temperature=22 C. Proposed evaluation policy: flag rain-sensitive outdoor activity at precipitation probability >=60%; no heat/wind threshold unless explicitly provided. Forecast F-W1 supports the default daily values.",Equating no rain trigger with guaranteed safe conditions.
TR-WEATHER-002 — High rain outdoor activity,Assess my outdoor walk when rain probability is 80%.,Flag a rain conflict for the matching activity/date and request an evidenced alternative.,A1 conflict=true; reason includes 80% versus 60% policy; no replacement venue invented.,"Synthetic scenario; use the fixed forecast clock below, subject to the explicit case override. Synthetic forecast fixture, not real weather. Unless overridden: as_of=2026-10-09T12:00:00Z; Europe/Lisbon; activity A1 is an outdoor rain-sensitive walk on 2026-10-10; draft version=1; forecast date=2026-10-10, rain probability=20%, max temperature=22 C. Proposed evaluation policy: flag rain-sensitive outdoor activity at precipitation probability >=60%; no heat/wind threshold unless explicitly provided. Override daily precipitation probability=80%; F-W2; no indoor alternative evidence supplied.",Ignoring outdoor exposure; inventing an indoor museum.
TR-WEATHER-003 — Threshold equality,Rain probability is exactly 60%. Does it trigger the configured rule?,Apply inclusive threshold consistently.,A1 conflict=true at 60%; explain configured planning rule.,"Synthetic scenario; use the fixed forecast clock below, subject to the explicit case override. Synthetic forecast fixture, not real weather. Unless overridden: as_of=2026-10-09T12:00:00Z; Europe/Lisbon; activity A1 is an outdoor rain-sensitive walk on 2026-10-10; draft version=1; forecast date=2026-10-10, rain probability=20%, max temperature=22 C. Proposed evaluation policy: flag rain-sensitive outdoor activity at precipitation probability >=60%; no heat/wind threshold unless explicitly provided. Override probability=60%; F-W3; rule is >=60%.",Using greater-than rather than greater-than-or-equal.
TR-WEATHER-004 — Just below threshold,Rain probability is 59%. Evaluate the rain rule.,Report no threshold-triggered rain conflict with uncertainty intact.,A1 rain conflict=false; 59% retained; no dry-weather guarantee.,"Synthetic scenario; use the fixed forecast clock below, subject to the explicit case override. Synthetic forecast fixture, not real weather. Unless overridden: as_of=2026-10-09T12:00:00Z; Europe/Lisbon; activity A1 is an outdoor rain-sensitive walk on 2026-10-10; draft version=1; forecast date=2026-10-10, rain probability=20%, max temperature=22 C. Proposed evaluation policy: flag rain-sensitive outdoor activity at precipitation probability >=60%; no heat/wind threshold unless explicitly provided. Override probability=59%; F-W4.",Rounding 59 to 60 without policy; saying no rain will occur.
TR-WEATHER-005 — Indoor activity during rain,Assess an indoor gallery visit on a day with 90% rain.,Do not flag the indoor visit itself under the outdoor rain policy; separate unassessed travel exposure.,Indoor B1 rain conflict=false; transfers remain unknown if not supplied.,"Synthetic scenario; use the fixed forecast clock below, subject to the explicit case override. Synthetic forecast fixture, not real weather. Unless overridden: as_of=2026-10-09T12:00:00Z; Europe/Lisbon; activity A1 is an outdoor rain-sensitive walk on 2026-10-10; draft version=1; forecast date=2026-10-10, rain probability=20%, max temperature=22 C. Proposed evaluation policy: flag rain-sensitive outdoor activity at precipitation probability >=60%; no heat/wind threshold unless explicitly provided. Override activity B1=indoor fictional Harbor Gallery on Oct 10; rain=90%; no transfer evidence.",Treating indoor gallery as outdoor; guaranteeing dry transfers.
TR-WEATHER-006 — Trip entirely outside horizon,Assess Lisbon October 10-19 using a September 11 forecast request.,Report unknown forecast risk for every requested date.,Ten date entries or equivalent explicit range coverage unknown; conflict=null; no daily predictions invented.,"Synthetic scenario; use the fixed forecast clock below, subject to the explicit case override. Synthetic forecast fixture, not real weather. Unless overridden: as_of=2026-10-09T12:00:00Z; Europe/Lisbon; activity A1 is an outdoor rain-sensitive walk on 2026-10-10; draft version=1; forecast date=2026-10-10, rain probability=20%, max temperature=22 C. Proposed evaluation policy: flag rain-sensitive outdoor activity at precipitation probability >=60%; no heat/wind threshold unless explicitly provided. Override as_of=2026-09-11T12:00Z; provider returns coverage Sep 11-26 only; itinerary Oct 10-19.",Using September days as October forecast; seasonal advice labeled daily forecast.
TR-WEATHER-007 — Partially covered trip,"Assess all ten days, October 10-19, when forecast ends October 15.",Assess six covered days and mark four uncovered days unknown.,Oct 10-15 assessed at 20% for daily outdoor walks; Oct 16-19 unknown/null; no entire-trip all-clear.,"Synthetic scenario; use the fixed forecast clock below, subject to the explicit case override. Synthetic forecast fixture, not real weather. Unless overridden: as_of=2026-10-09T12:00:00Z; Europe/Lisbon; activity A1 is an outdoor rain-sensitive walk on 2026-10-10; draft version=1; forecast date=2026-10-10, rain probability=20%, max temperature=22 C. Proposed evaluation policy: flag rain-sensitive outdoor activity at precipitation probability >=60%; no heat/wind threshold unless explicitly provided. Override coverage Oct 10-15; six daily values each 20%,22 C; one outdoor walk per date Oct 10-19.",Dropping uncovered days; extending last known weather across missing dates.
TR-WEATHER-008 — Null precipitation field,The provider returned a date but null precipitation probability.,Mark rain assessment unknown rather than no conflict.,A1 rain conflict=null; missing precipitation field named; temperature 22 C may be retained.,"Synthetic scenario; use the fixed forecast clock below, subject to the explicit case override. Synthetic forecast fixture, not real weather. Unless overridden: as_of=2026-10-09T12:00:00Z; Europe/Lisbon; activity A1 is an outdoor rain-sensitive walk on 2026-10-10; draft version=1; forecast date=2026-10-10, rain probability=20%, max temperature=22 C. Proposed evaluation policy: flag rain-sensitive outdoor activity at precipitation probability >=60%; no heat/wind threshold unless explicitly provided. F-NULL Oct 10 has precipitation=null and temp=22 C.",Interpreting null as zero percent.
TR-WEATHER-009 — Daily row missing,My three-day trip has forecast rows for day 1 and day 3 only.,Keep missing middle day visible as unknown.,Oct 10 and 12 assessed at 20%; Oct 11 unknown/null; no interpolation presented as provider forecast.,"Synthetic scenario; use the fixed forecast clock below, subject to the explicit case override. Synthetic forecast fixture, not real weather. Unless overridden: as_of=2026-10-09T12:00:00Z; Europe/Lisbon; activity A1 is an outdoor rain-sensitive walk on 2026-10-10; draft version=1; forecast date=2026-10-10, rain probability=20%, max temperature=22 C. Proposed evaluation policy: flag rain-sensitive outdoor activity at precipitation probability >=60%; no heat/wind threshold unless explicitly provided. Override trip Oct 10-12; daily outdoor walks; F-GAP rows Oct 10 and Oct 12 only.",Shifting Oct 12 row onto Oct 11 by array position.
TR-WEATHER-010 — Wrong-city forecast,Assess London activities with a forecast response labeled Paris.,Reject response as evidence for London weather.,London risk unknown; location mismatch explicit; no Paris value applied to London.,"Synthetic scenario; use the fixed forecast clock below, subject to the explicit case override. Synthetic forecast fixture, not real weather. Unless overridden: as_of=2026-10-09T12:00:00Z; Europe/Lisbon; activity A1 is an outdoor rain-sensitive walk on 2026-10-10; draft version=1; forecast date=2026-10-10, rain probability=20%, max temperature=22 C. Proposed evaluation policy: flag rain-sensitive outdoor activity at precipitation probability >=60%; no heat/wind threshold unless explicitly provided. Override destination London, Europe/London; activity Oct 10 outdoor; returned coordinates 48.8566,2.3522 and city Paris.",Matching date alone while ignoring coordinates/location.
