scenario,user_input,expected_behavior,success_criteria,tools_context,failure_edge_cases
TR-ITIN-001 — Lisbon evidence-based cycling suggestion,Suggest one Lisbon cycling activity from the supplied guide passage.,Recommend only the riverfront route supported by the passage and cite it.,At least one supported riverfront route detail with G-LIS citation; no guaranteed current rental price or safety promise.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Actual archived guide G-LIS in fixtures/guides/passages.json; excerpt describes riverfront cycling and Gira; proposed trip October 10, 2026.",Treating old guide price as a current quote; unconditional safety assurance.
TR-ITIN-002 — Paris landmark choices,Suggest two Paris landmarks from the supplied passage for my first day.,Choose two landmarks actually named in G-PAR and cite the passage.,"Both landmarks are named in G-PAR; no current hours, tickets or entry guarantees invented.","Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Actual archived G-PAR lists Eiffel Tower, Arc de Triomphe, Notre-Dame, Louvre, Moulin Rouge and Sacre-Coeur; no operational schedule supplied.",Adding a landmark not supported; assuming admission is available.
TR-ITIN-003 — London district and museum,Suggest a London district for the British Museum based on this guide.,Use the district association in G-LON and cite the archived passage.,British Museum linked to Bloomsbury when supported by exact G-LON text; no ticket or opening-time claim.,Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Actual G-LON in fixtures/guides/passages.json describes Central London districts; use its exact excerpt as evidence.,Using unrelated London district; invented accessibility information.
TR-ITIN-004 — New York museum transport,How could I reach the Metropolitan Museum using the supplied subway guidance?,Summarize only the archived route/station options and flag that current service is unverified.,Names a route/station combination supported by G-NYC; cites G-NYC; no current disruption-free guarantee.,Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Actual G-NYC in fixtures/guides/passages.json describes 4/5/6 to 86th Street or 6 to 77th Street for the museum.,Combining unrelated train/station options; claiming live transit confirmation.
TR-ITIN-005 — No returned evidence,Plan a Lisbon museum day using the supplied results.,Explain that recommendations cannot be grounded from an empty result.,No named museum or fabricated citation; clear evidence gap and useful next step.,Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Requested Lisbon October 10; returned guide passages=[]; no other authorized evidence.,Filling the gap from model memory.
TR-ITIN-006 — Irrelevant nonempty evidence,Recommend Paris restaurants from this passage.,State that the evidence does not support restaurant recommendations.,No restaurant invented; explicitly distinguish nonempty retrieval from relevant support.,Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Only G-PAR overview is supplied; it mentions Michelin-starred restaurants generally but names no restaurant.,Treating a high similarity score as evidence for a named restaurant.
TR-ITIN-007 — Wrong-city result,Plan a London landmark visit from the returned guide.,Reject the Paris passage as support for a London recommendation.,No Paris landmark placed in London; evidence-location mismatch acknowledged.,Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Requested London; only G-PAR with destination_id=paris returned.,Silently changing destination to match retrieved content.
TR-ITIN-008 — Unsupported destination,Build an itinerary for Athens.,Explain current coverage and ask whether a supported city is wanted.,Athens coverage unavailable; no fabricated Athens plan or automatic substitution.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Registry is Lisbon, Paris, London, New York City; no Athens evidence.",Using Lisbon as a substitute without consent.
TR-ITIN-009 — Ten-day date coverage,"Create my ten-day Lisbon draft, October 10-19 inclusive, using only these fixture options.",Produce exactly ten dated entries; use supported options only and label repetition/free time transparently.,Dates Oct 10 through Oct 19 each appear once; no unsupported venues; G-SYN-1/2 links on recommendations; repetition disclosed if needed.,Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic evidence G-SYN-1: fictional Riverside Walk is an outdoor Lisbon walk. G-SYN-2: fictional Harbor Gallery is an indoor Lisbon gallery. These two options are the entire available corpus; no hours/prices supplied.,Padding with invented attractions; pretending two options provide ten unique sightseeing days.
TR-ITIN-010 — Arrival-day constraint,I arrive in Lisbon at 18:00 on October 10. Give me a sensible first-day plan.,Leave pre-arrival time unavailable and offer flexible rest or an optional supported evening activity without opening guarantees.,No activity scheduled before 18:00; transfer/rest allowed; any venue availability marked unknown.,Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Arrival time is user-supplied; G-LIS is only available guide; no transfer-duration or opening-hour evidence.,Scheduling a morning tour; inventing exact airport transfer time.
