scenario,user_input,expected_behavior,success_criteria,tools_context,failure_edge_cases
TR-PRICE-001 — Single traveler complete quote,Find a reasonable flight and hotel for the resolved trip.,Return applicable flight/hotel options with total scope and fixture status.,Flight F1 USD 600 round-trip; hotel H1 USD 900 for 9 nights; combined quoted categories USD 1500; does not claim full trip cost.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. F1 and H1 match all requested dates/occupancy; fetched at fixed as_of, valid for fixture clock; H1 whole-stay total.",Presenting flight+hotel as including meals/activities.
TR-PRICE-002 — Two adults flight total,"Price flights for two adults, with one shared room.",Preserve total-for-all-travelers basis.,"Offer F2 USD 1200 for both adults remains 1200, not 2400; per-person derived value=600 if shown.","Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. Override adults=2; F2 explicitly total for two adults; one room requested.",Multiplying already aggregated fare again.
TR-PRICE-003 — Per-person airfare,What is the flight cost for two adults at USD 550 each?,Calculate the group fare from explicit unit pricing.,Group total=USD 1100; per-person=550; traveler count=2.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. Override adults=2; synthetic F3 USD 550 per adult including fees; both eligible.",Reporting only USD 550 as the group total.
TR-PRICE-004 — Nightly room price,Calculate the hotel cost at EUR 100 per room per night.,Multiply by nine nights and one room with stated fee scope.,Hotel total=EUR 900; nights=9; rooms=1.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. Synthetic H2 EUR 100 per room per night; fees included; no other hotel charges.",Ten nights from inclusive itinerary dates.
TR-PRICE-005 — Whole-stay price,The hotel offer says EUR 900 total for my stay. What do I pay?,Use the whole-stay amount without multiplying nights.,EUR 900 remains stay total; nine-night scope preserved.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. H3 has price basis=whole stay, one room, check-in Oct 10/check-out Oct 19.",EUR 8100 from double multiplication.
TR-PRICE-006 — Two rooms nightly,We need two rooms at EUR 100 per room per night for nine nights.,Compute room-night total for requested occupancy.,Hotel total=EUR 1800; 18 room-nights; no double traveler multiplier.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. Override adults=2 and rooms=2; H4 EUR 100 per room/night supports requested occupancy.",Using EUR 900 for two rooms; multiplying by adults as well as rooms.
TR-PRICE-007 — Excluded mandatory city tax,Include the city tax in the hotel amount.,Add mandatory tax on its stated person/night basis.,EUR 900 room total + EUR 4 times 1 adult times 9 nights = EUR 936.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. H5 room total EUR 900 excludes city tax EUR 4 per adult/night; one adult; nine nights.",Calling 900 all-in; multiplying tax per room when basis is person.
TR-PRICE-008 — Tax already included,The hotel says EUR 936 including city tax. Confirm the total.,Preserve included tax without adding it again.,Final hotel total=EUR 936; tax not counted twice.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. H6 EUR 936 whole-stay total includes all taxes, with city-tax component EUR 36 displayed.",Returning 972 due to duplicate tax addition.
TR-PRICE-009 — No eligible flight offers,Find a flight when the search returns no offers.,"Report no offers found for the specified search, not zero flight cost.",No invented fare/carrier; no_results distinguished from service failure; hotel can remain separately available.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. Flight response successful with empty offer list; hotel H1 valid.",Claiming no flights exist anywhere; zero-cost flight.
TR-PRICE-010 — Pricing timeout,The flight service timed out. Can you still quote flights?,State flight pricing unavailable and preserve any separately valid hotel result.,Unavailable status for flights; no fare invented; no_results not used for timeout.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. All allowed flight attempts time out; hotel H1 USD 900 remains valid.",Using model-estimated airfare as a live quote.
